neighborhood,permits issued
Rainier Valley,77
Northeast Seattle,71
Southwest,69
Capitol Hill,60
Squire Park,55
Old Ballard,52
Greater Duwamish,40
High Point,39
Fremont,33
Central District,29
Eastlake,24
Stevens,22
Magnolia,21
Queen Anne,20
Wallingford,18
Lower Queen Anne,16
West Woodland,14
Washington,14
Roosevelt,13
South Lake Union,13
Downtown,13
Belltown,13
Mann,12
North Queen Anne,12
North Delridge,12
Greenwood,11
Seattle,11
Green Lake,10
Northgate,9
East Queen Anne,8
Crown Hill,8
Dunlap,7
Brighton,7
North Seattle,6
Haller Lake,6
Northwest Seattle,6
Westlake,6
Phinney Ridge,5
Minor,5
Loyal Heights,5
South Delridge,5
Whittier Heights,4
South Park,4
Ravenna,3
Madison Park,3
Pike/Pine,3
Georgetown,3
Wedgwood,3
Interbay,3
Lake City,3
West Seattle,2
Pike Place Market,2
Sand Point,2
Bitter Lake,2
Pioneer Square,2
Bryant,2
North Beach/ Blue Ridge,2
Southeast Magnolia,1
Hillwood,1
Pinehurst,1
Ballard,1
Pike Pine Retail Core,1
King County,1
Hawthorne Hills,1
Rainier Beach,1
