neighborhood,permits issued
Rainier Valley,77
Northeast Seattle,73
Southwest,69
Capitol Hill,61
Squire Park,55
Old Ballard,53
Greater Duwamish,40
High Point,39
Fremont,33
Central District,29
Eastlake,24
Stevens,22
Magnolia,21
Queen Anne,20
Wallingford,18
Lower Queen Anne,15
Washington,14
West Woodland,13
Belltown,13
South Lake Union,13
Roosevelt,13
Downtown,13
Mann,12
Greenwood,11
Seattle,11
North Delridge,11
North Queen Anne,11
Green Lake,10
Northgate,9
Crown Hill,8
East Queen Anne,8
Brighton,7
Dunlap,7
Northwest Seattle,6
Westlake,6
North Seattle,6
Haller Lake,6
Minor,5
Phinney Ridge,5
Loyal Heights,5
South Delridge,5
Whittier Heights,4
South Park,4
Pike/Pine,3
Georgetown,3
Madison Park,3
Ravenna,3
Lake City,3
Wedgwood,3
Interbay,3
North Beach/ Blue Ridge,2
Bryant,2
Bitter Lake,2
West Seattle,2
Sand Point,2
Pike Place Market,2
Pioneer Square,2
Rainier Beach,1
Pike Pine Retail Core,1
Southeast Magnolia,1
Ballard,1
Hawthorne Hills,1
Pinehurst,1
King County,1
Hillwood,1
