month,permits issued
2010-11,13
2011-11,21
2010-12,23
2011-12,25
2011-01,25
2012-06,25
2012-01,26
2011-03,27
2015-11,30
2011-07,31
2011-09,32
2012-02,32
2012-04,35
2011-06,36
2011-02,38
2011-04,41
2011-05,43
2011-10,47
2012-07,49
2011-08,50
2013-05,52
2012-05,55
2012-12,56
2012-03,57
2012-11,63
2013-03,64
2013-01,69
2015-01,70
2012-08,71
2013-06,73
2012-09,74
2014-07,77
2012-10,77
2014-11,83
2013-02,84
2013-04,84
2015-06,85
2014-05,87
2013-11,87
2015-10,93
2014-12,95
2014-04,96
2013-08,97
2013-10,99
2013-09,99
2013-07,101
2014-09,101
2015-04,103
2014-01,103
2014-06,104
2014-02,105
2015-07,105
2015-08,106
2014-08,111
2014-10,111
2014-03,112
2013-12,112
2015-02,114
2015-09,115
2015-05,128
2015-03,137
