permit id,address,description,category,value,issue date,location
6241435,11004 RIVIERA PL NE,"Construct carport and entry addition to existing single family residence, per plan.",SINGLE FAMILY / DUPLEX,13396,2010-11-15 00:00:00,"{'latitude': '47.70996056', 'longitude': '-122.27619606', 'needs_recoding': False}"
6157950,4404 S MYRTLE ST,Establish and construct new single family residence per standard plan   #6175908.,SINGLE FAMILY / DUPLEX,272539,2010-11-15 00:00:00,"{'latitude': '47.53912096', 'longitude': '-122.27772841', 'needs_recoding': False}"
6257987,1506 5TH AVE W,Establish use as and construct new single family residence per plan.,SINGLE FAMILY / DUPLEX,396798,2010-11-17 00:00:00,"{'latitude': '47.63263843', 'longitude': '-122.36340322', 'needs_recoding': False}"
6247028,6827 29TH AVE NE,"Establish use as single family residence and construct one family dwelling, per plans",SINGLE FAMILY / DUPLEX,346997,2010-11-18 00:00:00,"{'latitude': '47.67844916', 'longitude': '-122.29665875', 'needs_recoding': False}"
6252935,6550 49TH AVE SW,CLOSED AS INCOMPLETE - EXPIRED PERMIT. Establish Use and Construct new single family dweling with attached garage per plan.,SINGLE FAMILY / DUPLEX,258829,2010-11-18 00:00:00,"{'latitude': '47.54365523', 'longitude': '-122.39492508', 'needs_recoding': False}"
6252938,6546 49TH AVE SW,Establish use and Construct new SFR with attached garage per plan.,SINGLE FAMILY / DUPLEX,250154,2010-11-18 00:00:00,"{'latitude': '47.54376463', 'longitude': '-122.39493188', 'needs_recoding': False}"
6204824,6239 LAKE SHORE DR S,Construct new house and establish use as single family residence per plan.,SINGLE FAMILY / DUPLEX,659177,2010-11-18 00:00:00,"{'latitude': '47.54600611', 'longitude': '-122.25960482', 'needs_recoding': False}"
6190626,8415 44TH AVE S,"Establish use for and construct new single family dwelling with attached garage, per plans.",SINGLE FAMILY / DUPLEX,251553,2010-11-22 00:00:00,"{'latitude': '47.52728802', 'longitude': '-122.27837085', 'needs_recoding': False}"
6259086,6533 EARL AVE NW,"Establish and construct new single family residence with attached garage, per plan.",SINGLE FAMILY / DUPLEX,263417,2010-11-23 00:00:00,"{'latitude': '47.67692134', 'longitude': '-122.39212033', 'needs_recoding': False}"
6249328,422 MALDEN AVE E,"Construct South Duplex, per plan (Establish use and construct 2 duplex and 1 fourplex structures <8 units> Review and process for 3 AP's under 6249328).",SINGLE FAMILY / DUPLEX,348898,2010-11-24 00:00:00,"{'latitude': '47.62264588', 'longitude': '-122.31347573', 'needs_recoding': False}"
6254985,432 MALDEN AVE E,"Construct East Fourplex, per plan (Establish use and construct 2 duplex and 1 fourplex structures <8 units> Review and process for 3 AP's under 6249328).",MULTIFAMILY,718958,2010-11-24 00:00:00,"{'latitude': '47.62277528', 'longitude': '-122.31322592', 'needs_recoding': False}"
6254984,436 MALDEN AVE E,"Construct North Duplex, per plan (Establish use and construct 2 duplex and 1 fourplex structures <8 units> Review and process for 3 AP's under 6249328).",SINGLE FAMILY / DUPLEX,348898,2010-11-24 00:00:00,"{'latitude': '47.62277683', 'longitude': '-122.31347241', 'needs_recoding': False}"
6255345,3816 19TH AVE SW,"Construct single family dwelling with attached garage, per plan",SINGLE FAMILY / DUPLEX,276029,2010-11-30 00:00:00,"{'latitude': '47.56955338', 'longitude': '-122.35773126', 'needs_recoding': False}"
6254355,8142 20TH AVE SW,"Establish use and construct single family residence, per plan.",SINGLE FAMILY / DUPLEX,272623,2010-12-02 00:00:00,"{'latitude': '47.52875966', 'longitude': '-122.35868881', 'needs_recoding': False}"
6245080,3701 W BARRETT ST,"Construct new single family dwelling with attached garage and shoring, accessed by shared easement, per plan.",SINGLE FAMILY / DUPLEX,405591,2010-12-02 00:00:00,"{'latitude': '47.64661995', 'longitude': '-122.40471406', 'needs_recoding': False}"
6261459,4131 44TH AVE SW,Construct new singe family dwelling with on-site parking per plans.,SINGLE FAMILY / DUPLEX,223183,2010-12-06 00:00:00,"{'latitude': '47.56565822', 'longitude': '-122.38868195', 'needs_recoding': False}"
6259043,14022 MERIDIAN AVE N,Establish use and construct single family residence per plan,SINGLE FAMILY / DUPLEX,206996,2010-12-06 00:00:00,"{'latitude': '47.73120505', 'longitude': '-122.33362548', 'needs_recoding': False}"
6258622,562 GALER ST,CLOSED AS INCOMPLETE - EXPIRED PERMIT. Construct retaining wall per plan,SINGLE FAMILY / DUPLEX,10000,2010-12-07 00:00:00,"{'latitude': '47.63242743', 'longitude': '-122.34529367', 'needs_recoding': False}"
6263251,7741 CREST DR NE,"Establish use as and construct new single family residence with attached garage, per plan",SINGLE FAMILY / DUPLEX,410232,2010-12-13 00:00:00,"{'latitude': '47.68565512', 'longitude': '-122.27448919', 'needs_recoding': False}"
6258008,3010 39TH AVE SW,"Construct and establish new single family residence with detached garage, per plan.",SINGLE FAMILY / DUPLEX,300943,2010-12-14 00:00:00,"{'latitude': '47.57702078', 'longitude': '-122.38104377', 'needs_recoding': False}"
6258124,2820 NW 66TH ST,"Establish use as and construct single family residence with attached garage, per plan.",SINGLE FAMILY / DUPLEX,237865,2010-12-14 00:00:00,"{'latitude': '47.67682251', 'longitude': '-122.39389048', 'needs_recoding': False}"
6254321,2811 SW BATAAN ST,Establish use and construct one new single family residence (bldg 6) with detached garage per plan.  (Reviews and processing for 6 A/P under AP#6254315).,SINGLE FAMILY / DUPLEX,207570,2010-12-14 00:00:00,"{'latitude': '47.54568003', 'longitude': '-122.36939929', 'needs_recoding': False}"
6254320,2809 SW BATAAN ST,Establish use and construct one new single family residence (bldg 5) with detached garage per plan.  (Reviews and processing for 6 A/P under AP#6254315).,SINGLE FAMILY / DUPLEX,179326,2010-12-14 00:00:00,"{'latitude': '47.54571779', 'longitude': '-122.36926174', 'needs_recoding': False}"
6254318,2807 SW BATAAN ST,Establish use and construct one new single family residence (bldg 4) with detached garages per plan.  (Reviews and processing for 6 A/P under AP#6254315).,SINGLE FAMILY / DUPLEX,207570,2010-12-14 00:00:00,"{'latitude': '47.54572778', 'longitude': '-122.36913561', 'needs_recoding': False}"
6254317,2805 SW BATAAN ST,Establish use and construct one new single family residence (bldg 3)with detached garage per plan.   (Reviews and processing for 6 A/P under AP#6254315).,SINGLE FAMILY / DUPLEX,207570,2010-12-14 00:00:00,"{'latitude': '47.5457487', 'longitude': '-122.36901795', 'needs_recoding': False}"
